"Area","FundId","StarRatingFromEst","Name","NameEng","NameWarning","CPId","CPName","CPNameEng","AgentCPId","AgentCPName","AgentCPNameEng","RctName","Count","CurrencyCode","InceptionYmdOn","CategoryId","CategoryName","BroadAssetClassId","BroadAssetClassName","InvestmentStrategy","Custodian","CustodianFee","CustodianFeeUnitNameEng","ManagementFee","ManagementFeeUnitNameEng","MinInvestment","MinInvestmentUnit","DistnbutionStatus","FrontLoadFee","FrontLoadFeeUnitNameEng","SizeTransDate","FundSize","PriceTransDate","Price","PerformanceTransDate","UpDown","UpDownRate","Rr1w","Rr1M","Rr3M","Rr6M","RrThisYear","Rr1Y","Rr2Y","Rr3Y","Rr5Y","Rr10Y","RrFromEst","RatingTransDate","Alpha1Y","Beta1Y","Sharpe1Y","StdDev1Y","Alpha3Y","Beta3Y","Sharpe3Y","StdDev3Y","AriMean3Y","Alpha5Y","Beta5Y","Sharpe5Y","StdDev5Y","Alpha10Y","Beta10Y","Sharpe10Y","StdDev10Y","RiskRatingFromEst","ProviderId","EcAllot","RspAllot","EcRedem","EcSwitch","StopTradeType"
"B","046001","3","MFS全盛基金系列-MFS全盛全球高收益基金 A1(歐元)","MFS Meridian Global High Yield A1 EUR","本基金主要係投資於非投資等級之高風險債券","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","24","EUR","20110822","682","環球高收益債券","null","債券基金","基金的主要投資目標為以美元計值的高當前收入,次要投資目標為資本增值.基金主要投資低於投資級美國債務證券投資組合.基金通過自下而上的信用揀選,集中物色最具吸引力的風險回報機會,尋求增值.","道富銀行盧森堡","null","null","0.75","Percentage","4000","Monetary","不分配","1.5","Percentage","20160930","685639516.72","20161108","17.43","20161031","0.06","0.34","-1.72702","2.67753","4.00943","10.52632","11.2232","7.49543","18.30987","34.4512","62.58069","null","77.10842","201609","-3.68","1.01","0.9","7.15","-2.51","1.03","0.45","6.17","0.24","-3.11","1.05","0.8","6.29","null","null","null","null","3","58","Y","Y","Y","Y","null"
"B","046024","3","MFS全盛基金系列-MFS全盛全球高收益基金 A2(美元)","MFS Meridian Global High Yield A2 USD","本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","33","USD","19970701","682","環球高收益債券","null","債券基金","基金的主要投資目標為以美元計值的高當前收入,次要投資目標為資本增值.基金主要投資低於投資級美國債務證券投資組合.基金通過自下而上的信用揀選,集中物色最具吸引力的風險回報機會,尋求增值.","道富銀行盧森堡","null","null","0.75","Percentage","5000","Monetary","分配","1.5","Percentage","20160930","770520000","20161108","5.84","20161031","0.03","0.52","-0.80236","0.21331","2.38205","5.87827","11.77889","7.25891","3.70734","8.68616","29.99146","58.62037","129.381424","201609","-2.51","0.94","1.05","6.59","-2.15","0.97","0.51","5.57","0.244","-2.12","0.96","0.96","5.52","-2.59","0.93","0.43","10.02","3","58","Y","Y","Y","Y","null"
"B","046011","3","MFS全盛基金系列-MFS全盛全球高收益基金 A2(歐元)","MFS Meridian Global High Yield A2 EUR","本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","29","EUR","20110822","682","環球高收益債券","null","債券基金","基金的主要投資目標為以美元計值的高當前收入,次要投資目標為資本增值.基金主要投資低於投資級美國債務證券投資組合.基金通過自下而上的信用揀選,集中物色最具吸引力的風險回報機會,尋求增值.","道富銀行盧森堡","null","null","0.75","Percentage","4000","Monetary","分配","1.5","Percentage","20160930","685639516.72","20161108","13.03","20161031","0.05","0.38","-1.7725","2.64735","4.00594","10.48253","11.24792","7.52575","18.07206","34.09057","62.24248","null","76.69352","201609","-3.69","1.01","0.9","7.17","-2.62","1.04","0.43","6.18","0.233","-3.18","1.06","0.79","6.3","null","null","null","null","3","58","Y","Y","Y","Y","null"
"B","046027","null","MFS全盛基金系列-MFS全盛全球高收益基金 A3 (美元)","MFS Meridian Global High Yield A3 USD","本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","29","USD","20150922","682","環球高收益債券","null","債券基金","基金的主要投資目標為以美元計值的高當前收入,次要投資目標為資本增值.基金主要投資低於投資級美國債務證券投資組合.基金通過自下而上的信用揀選,集中物色最具吸引力的風險回報機會,尋求增值.","道富銀行盧森堡","null","null","0.75","Percentage","null","null","分配","1.5","null","20160930","770520000","20161108","5.79","20161031","0.02","0.35","-0.70153","0.32392","2.37108","5.98241","11.69167","7.16451","null","null","null","null","8.08931","null","-2.68","0.95","1.03","6.65","null","null","null","null","null","null","null","null","null","null","null","null","null","3","58","Y","Y","Y","Y","null"
"B","046040","null","MFS全盛基金系列-MFS全盛全球高收益基金 AH3 (歐元)","MFS Meridian Global High Yield AH3 EUR","本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","24","EUR","20150922","835","環球高收益債券 - 歐元對沖","null","債券基金","基金的主要投資目標為以美元計值的高當前收入,次要投資目標為資本增值.基金主要投資低於投資級美國債務證券投資組合.基金通過自下而上的信用揀選,集中物色最具吸引力的風險回報機會,尋求增值.","道富銀行盧森堡","null","null","0.75","Percentage","null","null","分配","1.5","null","20160930","685639516.72","20161108","9.8","20161031","-0.04","-0.4","-0.73702","0.3659","1.82464","5.36921","11.35746","6.30285","null","null","null","null","6.4355","null","3.24","0.29","0.98","6.72","null","null","null","null","null","null","null","null","null","null","null","null","null","3","58","Y","Y","Y","Y","null"
"B","046014","null","MFS全盛基金系列-MFS全盛全球資產配置基金 A3 (美元)","MFS Meridian Global Total Return A3 USD","本基金之配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","30","USD","20150922","305","美元平衡型股債混合","null","股票債券混和基金","該基金的主要投資目標是總回報率,來衡量美元.這個團隊管理的基金投資組合交融混合的大型價值股的股本證券及投資級政府債務證券的全球發行人,與歷史撥款大約60%的股本證券及40%的債務證券.該基金的嘗試,為產品增值,主要是通過自底向上的股本證券選擇在股票部分,並通過自頂向下的國家選擇和貨幣管理方面的債務安全配置.","道富銀行盧森堡","null","null","1.05","Percentage","null","null","分配","3","null","20160930","2940660000","20161108","23.8","20161031","0.15","0.63","-0.50146","-2.61759","-2.54041","0.57241","5.60447","3.52244","null","null","null","null","7.95745","null","0.78577","0.88354","0.48","7.04","null","null","null","null","null","null","null","null","null","null","null","null","null","3","58","Y","Y","Y","Y","null"
"B","046005","null","MFS全盛基金系列-MFS全盛全球資產配置基金 AH3 (歐元)","MFS Meridian Global Total Return AH3 EUR","本基金之配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","27","EUR","20150922","209","歐元平衡型債券 - Global","null","股票債券混和基金","該基金的主要投資目標是總回報率,來衡量美元.這個團隊管理的基金投資組合交融混合的大型價值股的股本證券及投資級政府債務證券的全球發行人,與歷史撥款大約60%的股本證券及40%的債務證券.該基金的嘗試,為產品增值,主要是通過自底向上的股本證券選擇在股票部分,並通過自頂向下的國家選擇和貨幣管理方面的債務安全配置.","道富銀行盧森堡","null","null","1.05","Percentage","null","null","分配","3","null","20160930","2616716894.11","20161108","9.7","20161031","-0.02","-0.2","-0.61038","-2.78607","-3.20689","0.08682","5.30331","2.74588","null","null","null","null","6.44141","null","1.85488","0.27074","0.45","7.16","null","null","null","null","null","null","null","null","null","null","null","null","null","3","58","Y","Y","Y","Y","null"
"B","046020","5","MFS全盛基金系列-MFS全盛全球資產配置基金A1(美元)","MFS Meridian Global Total Return A1 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","86","USD","20010131","305","美元平衡型股債混合","null","股票債券混和基金","該基金的主要投資目標是總回報率,來衡量美元.這個團隊管理的基金投資組合交融混合的大型價值股的股本證券及投資級政府債務證券的全球發行人,與歷史撥款大約60%的股本證券及40%的債務證券.該基金的嘗試,為產品增值,主要是通過自底向上的股本證券選擇在股票部分,並通過自頂向下的國家選擇和貨幣管理方面的債務安全配置.","道富銀行盧森堡","null","null","1.05","Percentage","5000","Monetary","不分配","3","Percentage","20160930","2940660000","20161108","29.53","20161031","0.19","0.65","-0.50505","-2.63591","-2.53958","0.57862","5.57342","3.50263","2.60418","6.71722","31.15849","51.07359","125.7448","201609","0.7697","0.8823","0.48","7.03","-0.367","0.92563","0.33","6.88","0.2","0.2105","0.91633","0.79","7.1","0.46958","0.88399","0.38","10.03","3","58","Y","Y","Y","Y","null"
"B","046006","5","MFS全盛基金系列-MFS全盛全球資產配置基金A1(歐元)","MFS Meridian Global Total Return A1 EUR","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","28","EUR","20050926","305","美元平衡型股債混合","null","股票債券混和基金","該基金的主要投資目標是總回報率,來衡量美元.這個團隊管理的基金投資組合交融混合的大型價值股的股本證券及投資級政府債務證券的全球發行人,與歷史撥款大約60%的股本證券及40%的債務證券.該基金的嘗試,為產品增值,主要是通過自底向上的股本證券選擇在股票部分,並通過自頂向下的國家選擇和貨幣管理方面的債務安全配置.","道富銀行盧森堡","null","null","1.05","Percentage","4000","Monetary","不分配","3","Percentage","20160930","2616716894.11","20161108","18.35","20161031","0.11","0.6","-1.48699","-0.32241","-0.90812","4.92081","5.15873","3.80526","16.88721","31.74717","63.7246","75.49665","85.50007","201609","0.52131","0.84918","0.39","7.55","-0.76936","1.00807","0.29","7.64","0.192","-0.70873","1.00914","0.67","7.84","0.65476","0.88756","0.37","10.36","3","58","Y","Y","Y","Y","null"
"B","046019","5","MFS全盛基金系列-MFS全盛全球資產配置基金A2(美元)","MFS Meridian Global Total Return A2 USD","本基金之配息來源可能為本金","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","66","USD","20050926","305","美元平衡型股債混合","null","股票債券混和基金","該基金的主要投資目標是總回報率,來衡量美元.這個團隊管理的基金投資組合交融混合的大型價值股的股本證券及投資級政府債務證券的全球發行人,與歷史撥款大約60%的股本證券及40%的債務證券.該基金的嘗試,為產品增值,主要是通過自底向上的股本證券選擇在股票部分,並通過自頂向下的國家選擇和貨幣管理方面的債務安全配置.","道富銀行盧森堡","null","null","1.05","Percentage","5000","Monetary","分配","3","Percentage","20160930","2940660000","20161108","24.11","20161031","0.16","0.67","-0.53608","-2.66344","-2.53807","0.52262","5.57195","3.49832","2.59769","6.68558","31.17576","51.02417","173.069077","201609","0.76313","0.88339","0.48","7.05","-0.38512","0.92904","0.33","6.9","0.199","0.21189","0.91657","0.79","7.1","0.46827","0.88349","0.38","10.02","3","58","Y","Y","Y","Y","null"
"B","046022","3","MFS全盛基金系列-MFS全盛有限償還期基金 A1(美元)","MFS Meridian Limited Maturity A1 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","32","USD","20050926","224","美元短期債券","null","債券基金","基金的主要投資目標為尋求符合審慎投資風險的以美元計值的高當前收入,次要投資目標為保本.基金投資於投資級美國固定收益證券(主要是短期至中期證券)投資組合.基金透過投資於較短期證券以減低波動幅度,並試圖透過證券及行業揀選尋求增值.","道富銀行盧森堡","null","null","0.6","Percentage","5000","Monetary","不分配","1.5","Percentage","20160930","837010000","20161108","14.17","20161031","-0.01","-0.07","0","-0.07052","-0.07052","0.42523","1.35908","0.99786","0.78236","1.0699","3.65762","16.4339","36.64427","201609","0.08","0.62","1.04","0.69","-0.38","0.68","0.41","0.6","0.03","-0.2","0.92","0.79","0.79","-0.57","0.76","0.41","1.81","2","58","Y","Y","Y","Y","null"
"B","046023","3","MFS全盛基金系列-MFS全盛有限償還期基金 A2(美元)","MFS Meridian Limited Maturity A2 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","31","USD","20050926","224","美元短期債券","null","債券基金","基金的主要投資目標為尋求符合審慎投資風險的以美元計值的高當前收入,次要投資目標為保本.基金投資於投資級美國固定收益證券(主要是短期至中期證券)投資組合.基金透過投資於較短期證券以減低波動幅度,並試圖透過證券及行業揀選尋求增值.","道富銀行盧森堡","null","null","0.6","Percentage","5000","Monetary","分配","1.5","Percentage","20160930","837010000","20161108","8.78","20161031","0","0","0.06834","-0.04551","-0.03979","0.47356","1.41475","1.07173","0.85251","1.10656","3.62819","16.48563","51.01821","201609","0.12","0.65","1.09","0.72","-0.45","0.78","0.38","0.67","0.031","-0.29","1.01","0.74","0.84","-0.6","0.78","0.41","1.83","2","58","Y","Y","Y","Y","null"
"B","046007","3","MFS全盛基金系列-MFS全盛亞太(日本以外)基金A1(美元)","MFS Meridian Asia Pacific ex-Jap A1 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","38","USD","20000612","149","亞太區不包括日本股票","null","股票基金","基金的投資目標為以美元計值的資本增值.基金主要投資於亞太(日本以外)地區的股票證券投資組合.基金由MFS的研究分析家團隊管理,採用自下而上的基礎研究,並以同行評審來建立代表其對區內各行業資本增值最佳意見的多元資本化投資組合.","道富銀行盧森堡","null","null","1.05","Percentage","5000","Monetary","不分配","3","Percentage","20160930","84600000","20161108","24.86","20161031","0.41","1.69","-2.06759","-2.91683","0.53061","7.36704","9.36945","6.25539","-3.90168","-1.16372","13.81703","45.13854","146.300186","201609","-1.18","0.94","0.44","15.81","-0.58","0.94","0.04","14.5","0.052","-0.72","0.91","0.24","14.63","-0.95","0.92","0.25","21.08","5","58","Y","Y","Y","Y","null"
"B","046033","3","MFS全盛基金系列-MFS全盛亞太(日本以外)基金A1(歐元)","MFS Meridian Asia Pacific ex-Jap A1 EUR","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","32","EUR","20050926","149","亞太區不包括日本股票","null","股票基金","基金的投資目標為以美元計值的資本增值.基金主要投資於亞太(日本以外)地區的股票證券投資組合.基金由MFS的研究分析家團隊管理,採用自下而上的基礎研究,並以同行評審來建立代表其對區內各行業資本增值最佳意見的多元資本化投資組合.","道富銀行盧森堡","null","null","1.05","Percentage","4000","Monetary","不分配","3","Percentage","20160930","75280463.99","20161108","20.16","20161031","0.32","1.62","-3.02594","-0.59084","2.22785","12.04218","8.95845","6.59979","9.49023","21.99396","42.08303","68.67163","101.900108","201609","-1.76","0.96","0.4","16.27","-0.68","0.97","0.03","15.08","0.046","-1.17","0.94","0.21","15.13","-0.97","0.92","0.24","21.26","5","58","Y","Y","Y","Y","null"
"B","046018","3","MFS全盛基金系列-MFS全盛美國政府債券基金 A1(美元)","MFS Meridian US Gov Bond A1 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","37","USD","20050926","221","美元政府債券","null","債券基金","基金的投資目標為符合保本的以美元計值的當前收入.基金由團隊管理,主要投資於美國財政部及機構的債務投資組合,旨在為投資者提供高信用質素的固定收益投資組合.基金透過在不同政府證券間的行業輪換尋求增值,該等證券包括:美國國庫債券,政府房屋貸款協會債券(Ginnie Maes),聯邦住宅貸款公司債券(Freddie Macs),聯邦國家抵押貸款協會(Fannie Maes),學生貸款協會(Sallie Maes),及其他美國機構和組織的證券.","道富銀行盧森堡","null","null","0.6","Percentage","5000","Monetary","不分配","1.5","Percentage","20160930","462410000","20161108","17.43","20161031","-0.03","-0.17","-0.2287","-0.85227","-1.24505","0.34503","2.70747","2.04678","3.13239","5.56564","6.53234","39.37694","73.80476","201609","-1.12","0.98","0.71","2.5","-1.05","0.97","0.71","2.41","0.153","-0.95","0.97","0.51","2.36","-0.8","0.96","0.88","2.94","2","58","Y","Y","Y","Y","null"
