tejId,currentStatus,fundTongYiNumber,isinCode,fundChineseName,fundEnglishName,issueCompanyName,custodianInstitutionName,guaranteeAgencyName,generalAgentAbbreviation,issueInstitution,foundDate,enterDate,ipoDate,clearDate,clearDescription,fundScale,marketType,regionType,type,category,investTarget,revocationDate,couponMode,tejCategory,associationCategory,riskReturnLevel,registerPlace,otherCurrencyType,saleInsitution,fundLinkProduct,isMajorFund,majorFundId,isUmbrellaFund,umbrellaMember1,umbrellaMember2,totalIssueAmount,foundAsset,currencyType,txUnit,managementFeeUpperBoundPercent,managementFeeLowerBoundPercent,custodianFeeUpperBoundPercent,custodianFeeLowerBoundPercent,salesChargeUpperBoundPercent,salesChargeLowerBoundPercent,redemptionFee,beneficiacryMeetingFeeTenThousand,firstRedemptionDate,turnOpenDate,currentManagerA,exFund1OfManagerA,exFund2OfManagerA,currentManagerB,exFund1OfManagerB,exFund2OfManagerB,investTarget1,investTarget2,investTarget3,investTarget4,investTarget5,investTarget6,investTarget7,investTarget8,investTarget9,investTarget10,investTarget11,investTarget12,investTarget13,investTarget14,investTarget15,investTarget16,investTarget17,investTarget18,originalFundName,originalFoundDate,changeName1,changeNameDate1,changeName2,changeNameDate2,changeName3,changeNameDate3,changeName4,changeNameDate4,changeCodeDescription1,changeCodeDescription2,changeCodeDescription3
0020 保德信元富基金,Current,00974050,TW0000020007,保德信元富證券投資信託基金,Prudentail Financial Fund,保德信證券投資信託,土銀,,,,1993/03/10,1993/03/10,1993/06/19,2002/07/12,被併入 T0815Y  保德信台商全方位,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0020,N,,,-,"4,133,900",NTD,"1,000",1.2,0,0.15,0,0.8,0,0,0,1997/12/02,1998/04/22,魏仲儀(1971生)(1999/06/01到任),保德信店頭市場證券投資信託基金(2002/03/01~2003/01/05),保德信元富證券投資信託基金(1999/06/01~2002/07/12),,,,台灣上市股票、債券 (投資股票不低於淨資產70% ) 。,,,,,,,,,,,,,,,,,,元富基金,1993/03/10,保德信元富基金,2001/03/09,,,,,,,,,
0024 保誠元滿,Current,97983647,TW0000024009,保誠元滿證券投資信託基金,PCA Premier Fund,瀚亞證券投資信託,農銀,,,,1996/09/11,1996/09/13,1996/10/21,2006/02/10,被併入 T0708Y  瀚亞菁華,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0024,N,,,-,"2,818,000",NTD,"1,000",1.5,0,0.15,0,1.5,0.4,50,60,1999/09/01,1999/07/07,陳翠芝(1967生)(2005/11/01到任),瀚亞理財通證券投資信託基金(2008/10/04~2009/01/12),瀚亞高科技證券投資信託基金(2008/01/10~2009/03/31),,,,台灣上市櫃股票、政府公債、公司債、金融債券等。,,,,,,,,,,,,,,,,,,法華元滿基金,1996/09/11,京華元滿基金,2000/06/16,保誠元滿,2001/01/30,,,,,,,
0026 聯博概念,Current,97982984,TW000T1801Y7,聯博概念型證券投資信託基金,ABITL Concept Fund,聯博證券投資信託,華銀,,,,1996/08/27,1996/09/02,1997/01/06,2013/04/12,被併入 T1802Y  聯博大利,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,RR5,,,,,Y,0026,N,,,-,"2,000,000",NTD,"1,000",1.5,0,0.14,0,1.2,0,50,100,,1999/03/18,徐正達(2013/03/01到任),聯博歐洲收益成長平衡基金－AD類型 CNY(2014/11/27~2015/07/28),聯博歐洲收益成長平衡基金－AD類型 USD(2014/11/27~2015/07/28),,,,台灣上市櫃股票、公司債等。以摩根史坦利指數外資概念股、大陸概念股、航運,股為主以投資上列公司股票總額應占淨資產60% 。,,,,,,,,,,,,,,,,,金鼎概念,1996/08/27,匯達概念,2011/01/03,聯博概念,2013/01/14,,,,,,,
0027 元大中國,Current,97990289,TW0000027002,元大中國證券投資信託基金,FGIT China Equity Fund,元大證券投資信託,交銀,,,,1996/10/04,1996/10/16,1997/03/18,2001/10/18,清算,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0027,N,,,-,"2,000,000",NTD,"1,000",1.5,0,0.15,0,1.5,0.8,0,60,1999/09/10,2000/08/11,黎方國(2001/02/26到任),元大中國證券投資信託基金(2001/02/26~2001/10/18),,,,,台灣上市櫃股票、公債、公司債、金融債券等。投資在府核准投資大陸之大陸概,念股、航運股股股不低於淨資產60% 。,,,,,,,,,,,,,,,,,元大中國,1996/10/04,,,,,,,,,,,
0030 富鼎基金,Current,73988051,TW0000030006,富鼎證券投資信託基金,Truswell Fund,中國信託證券投資信託,中信局,,,,1998/07/16,1998/07/16,1998/11/25,2003/06/18,被併入 DS11    富鼎寶馬,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0030,N,,,-,"4,100,000",NTD,"1,000",1.6,0,0.15,0,2,0,50,100,,2000/12/13,周明敏(1967生)(2003/05/01到任),貝萊德亞太領航證券投資信託基金(2008/05/19~2008/06/10),奔華利基證券投資信託基金(2008/03/13~2008/06/19),,,,台灣上市櫃股票、承銷股票、債券、換股權利證書等。,,,,,,,,,,,,,,,,,,大信基金,1998/07/16,富鼎基金,1999/09/09,,,,,,,,,
0050 元大台灣50,Current,98764389,TW0000050004,元大台灣卓越50證券投資信託基金,Yuanta/P-shares Taiwan Top 50 ETF,元大證券投資信託,中信銀,,,,2003/06/25,2003/06/25,2003/06/30,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR5,,,,,Y,0050,N,,,"116,000,000","3,726,000",NTD,"1,000",0.32,0,0.035,0,2,0,0,50,,,張美媛(2010/05/18到任),元大亞太政府公債指數基金 B類型(2013/04/03~2014/05/20),元大亞太政府公債指數基金 A類型(2013/04/03~2014/05/20),,,,台灣之指數型股票。,,,,,,,,,,,,,,,,,,寶來台灣卓越50,2003/06/25,元大寶來台灣卓越50基金,2012/10/26,元大台灣卓越50基金,2015/10/15,,,,,,,
0051 元大中型100,Current,48772770,TW0000051002,元大台灣中型 100證券投資信託基金,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,元大證券投資信託,台新銀,,,,2006/08/24,2006/08/24,2006/08/31,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR5,,,,,Y,0051,N,,,"98,000,000","200,000",NTD,"1,000",0.4,0.3,0.035,0,2,0,0,50,,,許雅惠(2016/01/14到任),元大標智滬深300 證券投資信託基金(2015/07/20~2015/08/23),元大台灣中型 100證券投資信託基金(2012/03/16~2014/02/04),,,,本基金投資於上市櫃股票、以原股東身份認購已上市之現金增資股票及認購已上,市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上以完全複製法為主，儘可能於扣除各項必要費用後複製,臺灣中型100 指數之績效表現；本基金自上市日起追蹤標的指數，將基金全部或,幾近全部之資產，依臺灣中型100 指數之權值比例分散投資於各成份股，但如有,市場因素可能使基金無法依指數權值比例購買每一成份股時，或預期標的指數成,份股即將異動等情況，為配合實際需要，經理公司得以最佳化方法進行資產管理,。,,,,,,,,,,,寶來台灣中型 100,2006/08/24,元大寶來台灣中型 100基金,2012/10/26,元大台灣中型 100基金,2015/10/15,,,,,,,
0052 富邦台灣科技指數,Current,48790067,TW0000052000,富邦台灣科技指數證券投資信託基金,FUBON TAIWAN TECHNOLOGY TRACKER FUND,富邦證券投資信託,台新銀,,,,2006/08/28,2006/08/28,2006/09/12,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR4,,,,,Y,0052,N,,,"85,500,000","373,000",NTD,"1,000",0.4,0.3,0.035,0,0,0,0,100,,,廖崇文(2015/08/14到任),富邦中國優質債券基金 B-USD(2015/07/08~2015/08/13),富邦中國優質債券基金 A-USD(2015/07/08~2015/08/13),,,,該基金投資於台灣境內之上市櫃股票、以原股東身份認購已上市之現金增資股票,、認購已上市同種類現金增資承銷股票、初次上市股票之承銷股票。,該基金運用指數化策略，複製標的指數之績效表現，依據該標的指數編製之權值,比例分散投資於各指數成份股。本基金投資組合管理方法以完全複製法為主，即,完全以臺灣資訊科技指數成分股權重作為基金資產配置之依據，並以最佳化法為,輔，即如遇成分股流動性不足或其他市場因素致本基金無法依據成分股權重進行,資產配置時，則以最佳化法模擬指數表現進行資產配置，以求貼近標的指數績效,表現，達到最小追蹤誤差的基金管理目標。,,,,,,,,,,,富邦台灣科技指數,2006/08/28,,,,,,,,,,,
0053 元大電子,Current,48903196,TW0000053008,元大台灣 ETF傘型證券投資信託基金之電子科技證券投資信託基金,Yuanta/P-shares Taiwan Electronics Tech ETF,元大證券投資信託,中信銀,,,,2007/07/04,2007/07/04,2007/07/16,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR5,,,,,Y,0053,Y,0054　寶來台商收成,0055  寶來台灣金融,"117,488,000","2,594,640",NTD,"1,000",0.4,0.3,0.035,0,2,0.6,0,50,,,周宜縉(2015/10/21到任),元大台灣中型 100證券投資信託基金(2015/10/21~2016/01/13),元大印度指數證券投資信託基金(2014/06/18~2016/01/13),,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上以完全複製法為主，儘可能於扣除各項必要費用後複製,標的指數之績效表現，3 檔子基金之追蹤標的指數分別為「臺灣證券交易所電子,類發行量加權股價指數」、「MSCI台灣金融指數」及「S&P 台商收成指數」；本,基金自上市日起追蹤標的指數，將基金全部或幾近全部之資產，依標的指數之權,值比例分散投資於各成分股，但如有市場因素可能使基金無法依指數權值比例購,買每一成分股時，或預期標的指數成分股即將異動等情況，為配合實際需要，經,理公司得以最佳化方法進行資產管理。,,,,,,,,,,寶來台灣電子科技,2007/07/04,元大寶來台灣電子科技基金,2012/10/26,元大台灣電子科技基金,2015/10/15,,,,,,,
0054 元大台商50,Current,48903180,TW0000054006,元大台灣 ETF傘型證券投資信託基金之台商收成證券投資信託基金,Yuanta/P-shares S&P Custom China Play 50 ETF,元大證券投資信託,中信銀,,,,2007/07/04,2007/07/04,2007/07/16,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR5,,,,,Y,0054,Y,0053　寶來台灣電子科技,0055  寶來台灣金融,"146,124,000","2,953,100",NTD,"1,000",0.4,0.3,0.035,0,2,0.6,0,50,,,周宜縉(2012/06/11到任),元大台灣中型 100證券投資信託基金(2015/10/21~2016/01/13),元大印度指數證券投資信託基金(2014/06/18~2016/01/13),,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上以完全複製法為主，儘可能於扣除各項必要費用後複製,標的指數之績效表現，3 檔子基金之追蹤標的指數分別為「臺灣證券交易所電子,類發行量加權股價指數」、「MSCI台灣金融指數」及「S&P 台商收成指數」；本,基金自上市日起追蹤標的指數，將基金全部或幾近全部之資產，依標的指數之權,值比例分散投資於各成分股，但如有市場因素可能使基金無法依指數權值比例購,買每一成分股時，或預期標的指數成分股即將異動等情況，為配合實際需要，經,理公司得以最佳化方法進行資產管理。,,,,,,,,,,寶來台商收成,2007/07/04,元大寶來台商收成基金,2012/10/26,元大台商收成基金,2015/10/15,,,,,,,
0055 元大MSCI金融,Current,48903175,TW0000055003,元大台灣 ETF傘型證券投資信託基金之金融證券投資信託基金,Yuanta/P-shares MSCI Taiwan Financials ETF,元大證券投資信託,國泰世華,,,,2007/07/04,2007/07/04,2007/07/16,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR5,,,,,Y,0055,Y,0053　寶來台灣電子科技,0054  寶來台商收成,"122,154,000","977,310",NTD,"1,000",0.4,0.3,0.035,0,2,0.6,0,50,,,許雅惠(2014/05/07到任),元大標智滬深300 證券投資信託基金(2015/07/20~2015/08/23),元大台灣中型 100證券投資信託基金(2012/03/16~2014/02/04),,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上以完全複製法為主，儘可能於扣除各項必要費用後複製,標的指數之績效表現，3 檔子基金之追蹤標的指數分別為「臺灣證券交易所電子,類發行量加權股價指數」、「MSCI台灣金融指數」及「S&P 台商收成指數」；本,基金自上市日起追蹤標的指數，將基金全部或幾近全部之資產，依標的指數之權,值比例分散投資於各成分股，但如有市場因素可能使基金無法依指數權值比例購,買每一成分股時，或預期標的指數成分股即將異動等情況，為配合實際需要，經,理公司得以最佳化方法進行資產管理。,,,,,,,,,,寶來台灣金融,2007/07/04,元大寶來台灣金融基金,2012/10/26,元大台灣金融基金,2015/10/15,,,,,,,
0056 元大高股息,Current,48966213,TW0000056001,元大台灣高股息證券投資信託基金,Yuanta/P-shares Taiwan Dividend Plus ETF,元大證券投資信託,國泰世華,,,,2007/12/13,2007/12/13,2007/12/26,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR5,,,,,Y,0056,N,,,"133,034,000","2,425,850",NTD,"1,000",0.4,0.3,0.035,0,2,0,0,50,,,張美媛(2007/12/13到任),元大亞太政府公債指數基金 B類型(2013/04/03~2014/05/20),元大亞太政府公債指數基金 A類型(2013/04/03~2014/05/20),,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上以完全複製法為主，儘可能於扣除各項必要費用後複製,「臺灣證券交易所臺灣高股息指數」之績效表現；本基金自上市日起追蹤標的指,數，將基金全部或幾近全部之資產，依「臺灣證券交易所臺灣高股息指數」之權,值比例分散投資於各成分股，但如有市場因素可能使基金無法依指數權值比例購,買每一成分股時，或預期標的指數成分股即將異動等情況，為配合實際需要，經,理公司得以最佳化方法進行資產管理。,,,,,,,,,,,寶來台灣高股息,2007/12/13,元大寶來台灣高股息基金,2012/10/26,元大台灣高股息基金,2015/10/15,,,,,,,
0057 富邦台灣摩根指數,Current,48975156,TW0000057009,富邦台灣 ETF傘型證券投資信託基金之富邦台灣摩根指數股票型基金,Fubon MSCI Taiwan ETF,富邦證券投資信託,台新銀,,,,2008/02/14,2008/02/14,2008/02/27,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR4,,,,,Y,0057,Y,0058  富邦台灣發達指數股票型,0059  富邦台灣金融指數股票型,"43,027,000","405,810",NTD,"1,000",0.3,0,0.035,0,0.6,0,0,100,,,簡伯容(2012/12/21到任),,,,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上將依追蹤標的特性之不同而分別採取完全複製法或最佳,化法，並儘可能於扣除各項必要費用後複製標的指數之績效表現。,,,,,,,,,,,,,,,富邦台灣摩根指數股票型,2008/02/14,,,,,,,,,,,
0058 富邦台灣發達指數,Current,48977083,TW0000058007,富邦台灣 ETF傘型證券投資信託基金之富邦台灣發達指數股票型基金,Fubon Taiwan Eight Industries ETF,富邦證券投資信託,中信銀,,,,2008/02/14,2008/02/14,2008/02/27,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR4,,,,,Y,0058,Y,0057  富邦台灣摩根指數股票型,0059  富邦台灣金融指數股票型,"19,196,000","290,880",NTD,"1,000",0.4,0.3,0.035,0,0.6,0,0,100,,,廖崇文(2015/08/14到任),富邦中國優質債券基金 B-USD(2015/07/08~2015/08/13),富邦中國優質債券基金 A-USD(2015/07/08~2015/08/13),,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上將依追蹤標的特性之不同而分別採取完全複製法或最佳,化法，並儘可能於扣除各項必要費用後複製標的指數之績效表現。,,,,,,,,,,,,,,,富邦台灣發達指數股票型,2008/02/14,,,,,,,,,,,
0059 富邦台灣金融指數,Current,48975162,TW0000059005,富邦台灣 ETF傘型證券投資信託基金之富邦台灣金融指數股票型基金,Fubon Taiwan Finance ETF,富邦證券投資信託,中信銀,,,,2008/02/14,2008/02/14,2008/02/27,,,,,,開放,"國內募集,投資國內",ETF,,,國內指數-一般ETF,國內指數-一般ETF,RR4,,,,,Y,0059,Y,0057  富邦台灣摩根指數股票型,0058  富邦台灣發達指數股票型,"34,473,000","284,190",NTD,"1,000",0.4,0.3,0.035,0,0.6,0,0,100,,,廖崇文(2015/08/14到任),富邦中國優質債券基金 B-USD(2015/07/08~2015/08/13),富邦中國優質債券基金 A-USD(2015/07/08~2015/08/13),,,,本基金投資於上市股票櫃股票、以原股東身分認購已上市之現金增資股票及認購,已上市同種類現金增資承銷股票及初次上市股票之承銷股票。,本基金之操作策略原則上將依追蹤標的特性之不同而分別採取完全複製法或最佳,化法，並儘可能於扣除各項必要費用後複製標的指數之績效表現。,,,,,,,,,,,,,,,富邦台灣金融指數股票型,2008/02/14,,,,,,,,,,,
