基金代碼,基金名稱,風險等級,基金組別,股票%,債券%,現金%,其他%,大型%,中型%,小型%,市值(百萬美元),晨星評級
02A8,施羅德亞洲高息Ａ美累,3,亞洲股債混合,0.56550,0.30795,0.10703,0.01951,16.44808,16.87178,0.84883,70044.88992,5
02A9,施羅德亞洲高息Ａ美配,3,亞洲股債混合,0.56550,0.30795,0.10703,0.01951,16.44808,16.87178,0.84883,70044.88992,5
02B1,施羅德亞洲高息Ａ澳配,3,其他股債混合,0.56550,0.30795,0.10703,0.01951,16.44808,16.87178,0.84883,70044.88992,None
0304,景順日本基金,4,日本大型股票,0.99375,0.00000,0.00625,0.00000,20.39113,35.39969,9.51897,6178.55954,2
0306,景順東協基金,5,東協國家股票,0.97201,0.00000,0.02798,0.00000,40.92804,15.84387,0.00000,6843.89326,3
0307,景順開發中市場基金,5,全球新興市場股票,1.00034,0.00000,-0.00034,0.00000,24.00283,13.58691,5.93953,16745.54453,4
0309,景順科技基金,4,產業股票 - 科技,0.96955,0.00000,0.02723,0.00321,30.72506,6.05249,2.64110,89416.12577,2
0310,景順健康護理基金,3,產業股票 - 健康護理,0.98354,0.00000,0.01646,0.00000,23.26962,16.62510,3.10682,40602.99248,2
0320,景順中國基金,5,中國股票,0.97601,0.00000,0.02399,0.00000,41.78476,0.00000,0.00000,24701.38030,3
0322,景順環球高收益債券,3,全球高收益債券,0.00000,0.88533,0.10836,0.00631,None,None,None,None,4
0323,景順環球高收債月配,3,全球高收益債券,0.00000,0.88533,0.10836,0.00631,None,None,None,None,4
0324,景順消閒基金,4,產業股票 - 消費品及服務,0.98361,0.00000,0.01639,0.00000,30.73133,23.13479,10.02865,32970.43184,4
0325,景順亞洲動力基金,5,亞洲不包括日本股票,0.98872,0.00000,0.00503,0.00625,20.75773,4.97294,0.58915,27740.69142,4
0601,富達美國基金,4,美國大型均衡型股票,0.96219,0.00000,0.03781,0.00000,34.64245,26.49356,1.25629,40854.56532,4
0602,富達歐洲基金,4,歐洲大型均衡型股票,0.97673,0.00000,0.02312,0.00014,25.01102,5.80657,0.00000,42603.52880,3
0603,富達日本基金,4,日本大型股票,0.97573,0.00000,0.02427,0.00000,23.39498,21.97130,2.82342,1295297.81139,2
0604,富達東南亞基金,5,亞洲不包括日本股票,0.98747,0.00000,0.01253,0.00000,23.83311,5.54235,0.00000,28253.41707,3
0605,富達英國基金,4,英國大型增長型股票,0.99400,0.00000,0.00600,0.00000,25.59641,19.35883,1.66223,24424.26276,2
0606,富達德國基金,4,德國大型股票,0.99578,0.00000,0.00422,0.00000,31.98845,17.92353,8.01024,14718.77336,4
0607,富達馬來西亞基金,5,其他亞太區股票,0.93474,0.00000,0.06526,0.00000,40.15581,12.10519,5.93010,5689.57781,None
0608,富達東協基金,5,東協國家股票,0.94941,0.00000,0.05059,0.00000,28.06964,12.55142,3.76365,8322.18502,4
0609,富達日本小型企業基金,4,日本中小型股票,0.99249,0.00000,0.00419,0.00333,41.17921,43.85299,7.49160,438066.94579,3
0610,富達澳洲基金,4,澳洲及紐西蘭股票,0.99008,0.00000,0.00992,0.00000,25.35743,16.59885,9.73352,15860.06882,3
0611,富達泰國基金,5,泰國股票,0.89072,0.00000,0.07995,0.02933,23.88233,8.64714,1.98019,5972.60844,3
0612,富達國際債券　年配權,2,全球債券,0.00000,0.81849,0.17192,0.00959,None,None,None,None,3
0613,富達歐元債券年配權,2,歐元多元化債券,0.00000,0.84168,0.14451,0.01381,None,None,None,None,4
0614,富達新興市場基金,5,全球新興市場股票,0.96933,0.00000,0.03067,0.00000,27.71704,13.59638,0.30460,22096.34101,4
0615,富達拉丁美洲基金,5,拉丁美洲股票,0.96237,0.00000,0.03763,0.00000,28.85726,7.10096,3.60081,17411.18823,4
0616,富達亞洲成長趨勢基金,5,亞洲不包括日本股票,0.96296,0.00000,0.03635,0.00070,28.40070,6.22604,0.00000,245435.35473,5
0618,富達國際基金,3,全球大型均衡型股票,0.96651,0.00004,0.03182,0.00163,28.27323,17.40263,5.08516,31178.83564,4
0619,富達太平洋基金,5,亞太區股票,0.99727,0.00000,0.00273,0.00000,14.43102,31.80356,26.65614,2569.01274,5
0620,富達美國成長基金,4,美國大型增長型股票,0.95248,0.00000,0.04583,0.00169,29.32005,30.29471,16.89736,15924.77998,3
0621,富達瑞士基金,4,瑞士大型股票,0.97948,0.00000,0.02052,0.00000,31.46896,13.20142,8.17738,24968.36834,2
0623,富達歐洲小型企業基金,4,歐洲小型股票,0.96660,0.00160,0.00425,0.02755,3.16025,42.51901,35.05301,1295.11025,3
0624,富達歐洲平衡基金,4,歐元平衡型股債混合,0.59305,0.28547,0.11189,0.00959,21.58314,5.79160,0.86026,31111.88938,4
0625,富達北歐基金,4,北歐股票,0.98595,0.00113,0.00808,0.00485,8.42692,32.78023,45.63684,11366.00128,3
0626,富達法國基金,4,法國大型股票,0.99706,0.00000,0.00294,0.00000,36.57362,17.51907,1.75064,24061.94024,4
0627,富達義大利基金,4,義大利股票,0.99575,0.00000,0.00425,0.00000,18.15642,31.31774,13.39509,8765.49842,3
0628,富達美元債券基金,2,美元多元化債券,0.00000,0.94025,0.04252,0.01723,None,None,None,None,4
0630,富達大中華基金,4,大中華股票,0.95335,0.00000,0.04665,0.00000,17.60637,7.71892,2.60138,33188.05723,4
0631,富達南歐基金,4,西班牙股票,0.98380,0.00000,0.00647,0.00973,32.70984,29.12375,11.32209,9720.75187,4
0632,富達印尼基金,5,印尼股票,0.95379,0.00000,0.04621,0.00000,29.50542,13.12110,3.67481,9487.45484,4
0633,富達韓國基金,4,韓國股票,0.95844,0.00000,0.04156,0.00000,28.39350,15.76331,5.34362,8267.46370,2
0634,富達歐元藍籌基金,4,歐元區大型股票,0.98937,0.00000,0.00447,0.00616,36.00685,9.66205,1.43516,31111.88935,4
0635,富達歐盟５０ＴＭ基金,4,歐元區大型股票,0.99963,0.00000,0.00037,0.00000,14.32801,0.00000,0.00000,55167.47325,2
0636,富達新加坡基金,4,新加坡股票,0.95935,0.00000,0.04065,0.00000,23.27372,11.10222,8.29077,7994.37800,4
0637,富達世界基金,3,全球大型均衡型股票,0.98403,0.00000,0.01597,0.00000,48.49517,13.27165,1.55048,35781.60258,4
0638,富達美元高收益穩定配,3,美元高收益債券,0.03004,0.87829,0.03082,0.06084,1.15010,1.23755,0.19008,13301.27008,3
0639,富達亞太入息穩定月配,5,亞太區不包括日本股票,0.94696,0.00000,0.05304,0.00000,25.49997,8.22024,2.88891,22452.14724,4
0640,富達亞高收F1美元配,4,亞洲高收益債券,0.00000,1.01986,-0.10698,0.08712,None,None,None,None,3
0641,富達中國內消費美年配,5,大中華股票,0.96914,0.00000,0.02804,0.00282,25.73862,8.15829,3.09630,17128.64236,4
0642,富達中國內消費美累積,5,大中華股票,0.96914,0.00000,0.02804,0.00282,25.73862,8.15829,3.09630,17128.64236,4
0643,富達中國內消費歐年配,5,大中華股票,0.96914,0.00000,0.02804,0.00282,25.73862,8.15829,3.09630,17128.64236,4
0644,富達中國內消費歐累積,5,大中華股票,0.96914,0.00000,0.02804,0.00282,25.73862,8.15829,3.09630,17128.64236,4
0645,富達全球入息美元累積,3,全球股票收益,0.95875,0.00000,0.04125,0.00000,28.18720,4.19468,0.00000,57035.29488,4
0646,富達全球入息歐元累積,3,全球股票 - 貨幣對沖,0.95875,0.00000,0.04125,0.00000,28.18720,4.19468,0.00000,57035.29488,None
0647,富達全球入息美元穩配,3,全球股票收益,0.95875,0.00000,0.04125,0.00000,28.18720,4.19468,0.00000,57035.29488,4
0648,富達全球入息歐元穩配,3,全球股票收益,0.95875,0.00000,0.04125,0.00000,28.18720,4.19468,0.00000,57035.29488,4
0649,富達全球入息澳幣Ｈ配,3,全球股票 - 貨幣對沖,0.95875,0.00000,0.04125,0.00000,28.18720,4.19468,0.00000,57035.29488,None
0650,富達歐洲基金美元避險,4,歐洲股票 - 貨幣對沖,0.97673,0.00000,0.02312,0.00014,25.01102,5.80657,0.00000,42603.52880,None
0651,富達貨幣美元,1,貨幣市場 - 美元,0.00000,0.00000,1.00000,0.00000,None,None,None,None,None
0659,富達美元現金基金,1,貨幣市場 - 美元,0.00000,0.00000,1.00000,0.00000,None,None,None,None,None
0660,富達歐元現金基金,1,貨幣市場 - 歐元,0.00000,0.00000,1.00000,0.00000,None,None,None,None,None
0661,富達美元債Ａ股月配,2,美元多元化債券,0.00000,0.94025,0.04252,0.01723,None,None,None,None,4
0662,富達歐洲高收益Ａ股,3,歐元高收益債券,0.00262,0.79418,0.17003,0.03317,0.00000,0.23026,0.03186,1840.04554,4
0663,富達歐元債Ａ股月配息,2,歐元多元化債券,0.00000,0.84168,0.14451,0.01381,None,None,None,None,4
0664,富達美元高收益Ａ股,3,美元高收益債券,0.03004,0.87829,0.03082,0.06084,1.15010,1.23755,0.19008,13301.27008,3
0665,富達歐洲動能基金,4,歐洲大型增長型股票,0.98390,0.00000,0.00535,0.01075,35.49473,27.75637,0.98613,17980.08773,4
0667,富達全球工業基金,4,產業股票 - 工業物料,0.98944,0.00000,0.01056,0.00000,16.96074,18.85104,14.98472,24731.23821,3
0668,富達全球消費行業基金,4,產業股票 - 消費品及服務,0.97755,0.00000,0.02245,0.00000,25.53676,11.43701,1.32510,49103.86764,4
0669,富達全球金融服務基金,4,產業股票 - 金融服務,0.98169,0.00000,0.01831,0.00000,23.72307,21.78106,0.00000,29492.41610,4
